,symbol,name,price,change,volumne
0,BOIL.L,Baron Oil Plc,0.0550,-0.0020,601.434M
1,MSMN.L,Mosman Oil And Gas Limited,0.0550,+0.0015,638.765M
2,DGI.L,DG Innovate Plc,0.0550,0.0000,439.665M
3,TRP.L,Tower Resources plc,0.0550,-0.0010,427.092M
4,MBT.L,Mobile Tornado Group plc,0.0550,0.0000,393.038M
5,ALBA.L,Alba Mineral Resources plc,0.0550,-0.0272,343.621M
6,INSP.L,Inspirit Energy Holdings Plc,0.0550,0.0000,285.79M
7,SYME.L,Supply@ME Capital plc,0.0550,+0.0003,249.813M
8,0N70.L,Biotest Aktiengesellschaft,0.0550,+3.50,249.259M
9,0VAQ.L,OceanaGold Corporation,0.0550,+0.0400,173.885M
10,LLOY.L,Lloyds Banking Group plc,0.0550,+0.09,148.173M
11,CLON.L,Clontarf Energy plc,0.0550,+0.0005,152.294M
12,ECHO.L,Echo Energy plc,0.0550,0.0000,141.75M
13,BO08.L,BARCLAYS PLC 4.506% RESET SNR C,0.0550,+0.55,164.8M
14,RRR.L,Red Rock Resources plc,0.0550,-0.0075,138.98M
15,AJ88.L,,0.0550,+0.81,818M
16,88E.L,88 Energy Limited,0.0550,-0.0195,120.519M
17,PREM.L,Premier African Minerals Limited,0.0550,+0.0040,120.118M
18,FMET.L,Fulcrum Metals plc,0.0550,0.00,124.2M
19,0GA3.IL,Telecom Italia S.p.A.,0.0550,+0.0001,103.161M
20,BCE.L,Beacon Energy plc,0.0550,0.0000,103.016M
21,CRCL.L,Corcel Plc,0.0550,-0.1100,94.127M
22,GSC.L,GS Chain plc,0.0550,0.0000,103.5M
23,INX.L,i-nexus Global plc,0.0550,-0.5000,103.5M
24,KOD.L,Kodal Minerals Plc,0.0550,-0.0150,79.388M
25,MSMN.L,Mosman Oil And Gas Limited,0.0160,+0.0015,638.765M
26,DGI.L,DG Innovate Plc,0.0160,0.0000,439.665M
27,TRP.L,Tower Resources plc,0.0160,-0.0010,427.092M
28,MBT.L,Mobile Tornado Group plc,0.0160,0.0000,393.038M
29,ALBA.L,Alba Mineral Resources plc,0.0160,-0.0272,343.621M
30,INSP.L,Inspirit Energy Holdings Plc,0.0160,0.0000,285.79M
31,SYME.L,Supply@ME Capital plc,0.0160,+0.0003,249.813M
32,0N70.L,Biotest Aktiengesellschaft,0.0160,+3.50,249.259M
33,0VAQ.L,OceanaGold Corporation,0.0160,+0.0400,173.885M
34,LLOY.L,Lloyds Banking Group plc,0.0160,+0.09,148.173M
35,CLON.L,Clontarf Energy plc,0.0160,+0.0005,152.294M
36,ECHO.L,Echo Energy plc,0.0160,0.0000,141.75M
37,BO08.L,BARCLAYS PLC 4.506% RESET SNR C,0.0160,+0.55,164.8M
38,RRR.L,Red Rock Resources plc,0.0160,-0.0075,138.98M
39,AJ88.L,,0.0160,+0.81,818M
40,88E.L,88 Energy Limited,0.0160,-0.0195,120.519M
41,PREM.L,Premier African Minerals Limited,0.0160,+0.0040,120.118M
42,FMET.L,Fulcrum Metals plc,0.0160,0.00,124.2M
43,0GA3.IL,Telecom Italia S.p.A.,0.0160,+0.0001,103.161M
44,BCE.L,Beacon Energy plc,0.0160,0.0000,103.016M
45,CRCL.L,Corcel Plc,0.0160,-0.1100,94.127M
46,INX.L,i-nexus Global plc,0.0160,-0.5000,103.5M
47,GSC.L,GS Chain plc,0.0160,0.0000,103.5M
48,KOD.L,Kodal Minerals Plc,0.0160,-0.0150,79.388M
49,BZT.L,Bezant Resources plc,0.0160,-0.0020,75.176M
50,DGI.L,DG Innovate Plc,0.1700,0.0000,439.665M
51,TRP.L,Tower Resources plc,0.1700,-0.0010,427.092M
52,MBT.L,Mobile Tornado Group plc,0.1700,0.0000,393.038M
53,ALBA.L,Alba Mineral Resources plc,0.1700,-0.0272,343.621M
54,INSP.L,Inspirit Energy Holdings Plc,0.1700,0.0000,285.79M
55,SYME.L,Supply@ME Capital plc,0.1700,+0.0003,249.813M
56,0N70.L,Biotest Aktiengesellschaft,0.1700,+3.50,249.259M
