playerId,gamesPlayed,playerDetails.givenName,playerDetails.surname,playerDetails.age,playerDetails.heightCm,playerDetails.weightKg,playerDetails.jumperNumber,playerDetails.kickingFoot,playerDetails.stateOfOrigin,playerDetails.draftYear,playerDetails.debutYear,playerDetails.recruitedFrom,playerDetails.draftPosition,playerDetails.draftType,playerDetails.position,playerDetails.bio,playerDetails.aflAwards,playerDetails.photoURL,playerDetails.dateOfBirth,team.teamId,team.teamAbbr,team.teamName,team.teamNickname,totals.matchesPlayed,totals.timeOnGroundPercentage,totals.behinds,totals.bounces,totals.centreBounceAttendances,totals.centreClearances,totals.clangers,totals.contestDefLosses,totals.contestDefLossPercentage,totals.contestDefOneOnOnes,totals.contestedMarks,totals.contestedPossessionRate,totals.contestedPossessions,totals.contestOffOneOnOnes,totals.contestOffWins,totals.contestOffWinsPercentage,totals.defHalfPressureActs,totals.disposalEfficiency,totals.disposals,totals.dreamTeamPoints,totals.effectiveDisposals,totals.effectiveKicks,totals.f50GroundBallGets,totals.freesAgainst,totals.freesFor,totals.goalAccuracy,totals.goalAssists,totals.goals,totals.groundBallGets,totals.handballs,totals.hitouts,totals.hitoutsToAdvantage,totals.hitoutToAdvantageRate,totals.hitoutWinPercentage,totals.inside50s,totals.interceptMarks,totals.intercepts,totals.kickEfficiency,totals.kickins,totals.kickinsPlayon,totals.kicks,totals.kickToHandballRatio,totals.marks,totals.marksInside50,totals.marksOnLead,totals.metresGained,totals.onePercenters,totals.pressureActs,totals.ranking,totals.ratingPoints,totals.rebound50s,totals.ruckContests,totals.scoreInvolvements,totals.scoreLaunches,totals.shotsAtGoal,totals.spoils,totals.stoppageClearances,totals.tackles,totals.tacklesInside50,totals.totalClearances,totals.totalPossessions,totals.turnovers,totals.uncontestedPossessions,averages.matchesPlayed,averages.timeOnGroundPercentage,averages.behinds,averages.bounces,averages.centreBounceAttendances,averages.centreClearances,averages.clangers,averages.contestDefLosses,averages.contestDefLossPercentage,averages.contestDefOneOnOnes,averages.contestedMarks,averages.contestedPossessionRate,averages.contestedPossessions,averages.contestOffOneOnOnes,averages.contestOffWins,averages.contestOffWinsPercentage,averages.defHalfPressureActs,averages.disposalEfficiency,averages.disposals,averages.dreamTeamPoints,averages.effectiveDisposals,averages.effectiveKicks,averages.f50GroundBallGets,averages.freesAgainst,averages.freesFor,averages.goalAccuracy,averages.goalAssists,averages.goals,averages.groundBallGets,averages.handballs,averages.hitouts,averages.hitoutsToAdvantage,averages.hitoutToAdvantageRate,averages.hitoutWinPercentage,averages.inside50s,averages.interceptMarks,averages.intercepts,averages.kickEfficiency,averages.kickins,averages.kickinsPlayon,averages.kicks,averages.kickToHandballRatio,averages.marks,averages.marksInside50,averages.marksOnLead,averages.metresGained,averages.onePercenters,averages.pressureActs,averages.ratingPoints,averages.rebound50s,averages.ruckContests,averages.scoreInvolvements,averages.scoreLaunches,averages.shotsAtGoal,averages.spoils,averages.stoppageClearances,averages.tackles,averages.tacklesInside50,averages.totalClearances,averages.totalPossessions,averages.turnovers,averages.uncontestedPossessions
CD_I1000061,3.0,Callum,Coleman-Jones,24,200,0,21,RIGHT,SA,2017,2019,Unley (SA)/Scotch College (SA)/Sturt (SANFL)/Richmond,20.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000061.png?im=Scale,width=0.6,height=0.6",13/06/1999,CD_T100,NMFC,North Melbourne,Kangaroos,3.0,48.6,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,47.6,10.0,4.0,2.0,50.0,2.0,83.3,18.0,78.0,15.0,6.0,1.0,1.0,3.0,0.0,2.0,0.0,4.0,12.0,11.0,3.0,27.3,44.0,2.0,1.0,3.0,100.0,0.0,0.0,6.0,0.5,7.0,0.0,1.0,145.0,3.0,10.0,460.0,114.8,0.0,25.0,8.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,21.0,5.0,11.0,3.0,48.6,0.0,0.0,10.0,0.0,0.7,0.0,0.0,0.0,0.7,47.6,3.3,1.3,0.7,50.0,0.7,83.3,6.0,26.0,5.0,2.0,0.3,0.3,1.0,0.0,0.7,0.0,1.3,4.0,3.7,1.0,27.3,44.0,0.7,0.3,1.0,100.0,0.0,0.0,2.0,0.5,2.3,0.0,0.3,48.6,1.0,3.3,114.8,0.0,8.3,2.7,1.0,0.0,0.3,0.0,0.3,0.3,0.0,7.0,1.7,3.7
CD_I1000068,3.0,Chris,Burgess,28,193,0,21,RIGHT,SA,2018,2019,Flinders Park (SA)/West Adelaide (SANFL)/Gold Coast Suns,,other,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000068.png?im=Scale,width=0.6,height=0.6",26/11/1995,CD_T10,ADEL,Adelaide Crows,Crows,3.0,78.2,3.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0,50.0,13.0,11.0,2.0,18.2,7.0,60.7,28.0,150.0,17.0,12.0,3.0,2.0,2.0,42.9,1.0,3.0,10.0,9.0,13.0,5.0,38.5,32.5,5.0,2.0,7.0,63.2,0.0,0.0,19.0,2.1,11.0,5.0,1.0,469.0,3.0,35.0,577.0,22.9,1.0,40.0,11.0,2.0,7.0,3.0,0.0,3.0,1.0,0.0,26.0,5.0,13.0,3.0,78.2,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.3,50.0,4.3,3.7,0.7,18.2,2.3,60.7,9.3,50.0,5.7,4.0,1.0,0.7,0.7,42.9,0.3,1.0,3.3,3.0,4.3,1.7,38.5,32.5,1.7,0.7,2.3,63.2,0.0,0.0,6.3,2.1,3.7,1.7,0.3,156.5,1.0,11.7,22.9,0.3,13.3,3.7,0.7,2.3,1.0,0.0,1.0,0.3,0.0,8.7,1.7,4.3
CD_I1000072,2.0,John,Noble,27,180,0,9,RIGHT,SA,2019,2019,Plympton (SA)/West Adelaide (SANFL),14.0,other,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000072.png?im=Scale,width=0.6,height=0.6",25/03/1997,CD_T40,COLL,Collingwood,Magpies,2.0,52.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,20.7,6.0,0.0,0.0,0.0,23.0,87.5,32.0,121.0,28.0,17.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,85.0,3.0,3.0,20.0,1.7,6.0,0.0,0.0,646.0,1.0,26.0,294.0,247.5,7.0,0.0,8.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,29.0,5.0,23.0,2.0,52.2,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,20.7,3.0,0.0,0.0,0.0,11.5,87.5,16.0,60.5,14.0,8.5,0.0,1.0,0.5,0.0,0.5,0.0,2.5,6.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,85.0,3.0,3.0,10.0,1.7,3.0,0.0,0.0,323.4,0.5,13.0,247.5,3.5,0.0,4.0,1.5,0.0,0.0,0.0,3.0,0.0,0.0,14.5,2.5,11.5
CD_I1000223,4.0,Liam,Baker,26,173,0,7,RIGHT,WA,2017,2018,Lake Grace (WA)/West Perth (WAFL)/Subiaco (WAFL),18.0,rookieElevation,MEDIUM_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000223.png?im=Scale,width=0.6,height=0.6",27/01/1998,CD_T120,RICH,Richmond,Tigers,4.0,80.1,2.0,0.0,23.0,2.0,17.0,0.0,0.0,0.0,1.0,35.9,28.0,2.0,0.0,0.0,33.0,66.7,78.0,349.0,52.0,30.0,5.0,4.0,5.0,66.7,1.0,6.0,18.0,26.0,0.0,0.0,0.0,0.0,17.0,1.0,10.0,57.7,0.0,0.0,52.0,2.0,18.0,6.0,2.0,1551.0,5.0,85.0,124.0,361.8,3.0,0.0,26.0,8.0,9.0,1.0,8.0,14.0,3.0,10.0,78.0,20.0,50.0,4.0,80.1,0.5,0.0,23.0,0.5,4.3,0.0,0.0,0.0,0.3,35.9,7.0,0.5,0.0,0.0,8.3,66.7,19.5,87.3,13.0,7.5,1.3,1.0,1.3,66.7,0.3,1.5,4.5,6.5,0.0,0.0,0.0,0.0,4.3,0.3,2.5,57.7,0.0,0.0,13.0,2.0,4.5,1.5,0.5,387.9,1.3,21.3,361.8,0.8,0.0,6.5,2.0,2.3,0.3,2.0,3.5,0.8,2.5,19.5,5.0,12.5
CD_I1000860,4.0,Lachie,Schultz,26,178,0,8,RIGHT,VIC,2018,2019,Moama (NSW)/Bendigo U18/Williamstown (VFL)/Fremantle,57.0,nationalDraft,MEDIUM_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000860.png?im=Scale,width=0.6,height=0.6",30/11/1997,CD_T40,COLL,Collingwood,Magpies,4.0,82.2,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,28.9,13.0,1.0,1.0,100.0,19.0,67.4,46.0,239.0,31.0,17.0,3.0,1.0,1.0,37.5,2.0,3.0,11.0,21.0,0.0,0.0,0.0,0.0,14.0,1.0,6.0,68.0,0.0,0.0,25.0,1.2,14.0,3.0,2.0,835.0,5.0,80.0,169.0,329.8,0.0,0.0,17.0,5.0,8.0,4.0,1.0,15.0,5.0,1.0,45.0,8.0,32.0,4.0,82.2,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.3,28.9,3.3,0.3,0.3,100.0,4.8,67.4,11.5,59.8,7.8,4.3,0.8,0.3,0.3,37.5,0.5,0.8,2.8,5.3,0.0,0.0,0.0,0.0,3.5,0.3,1.5,68.0,0.0,0.0,6.3,1.2,3.5,0.8,0.5,208.9,1.3,20.0,329.8,0.0,0.0,4.3,1.3,2.0,1.0,0.3,3.8,1.3,0.3,11.3,2.0,8.0
CD_I1000864,3.0,Lachlan,Bramble,25,182,0,29,RIGHT,VIC,2020,2021,Sunbury (Vic)/Calder U18/Williamstown (VFL)/Box Hill Hawks (VFL)/Hawthorn,,preseason,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000864.png?im=Scale,width=0.6,height=0.6",19/04/1998,CD_T140,WB,Western Bulldogs,Bulldogs,3.0,81.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,21.0,13.0,0.0,0.0,0.0,12.0,88.4,69.0,258.0,61.0,40.0,0.0,1.0,2.0,50.0,1.0,1.0,10.0,23.0,0.0,0.0,0.0,0.0,8.0,5.0,13.0,87.0,10.0,10.0,46.0,2.0,20.0,0.0,1.0,1180.0,8.0,31.0,375.0,179.7,14.0,0.0,14.0,4.0,2.0,4.0,0.0,2.0,0.0,0.0,62.0,6.0,49.0,3.0,81.0,0.3,1.3,0.0,0.0,1.0,0.0,0.0,0.7,0.0,21.0,4.3,0.0,0.0,0.0,4.0,88.4,23.0,86.0,20.3,13.3,0.0,0.3,0.7,50.0,0.3,0.3,3.3,7.7,0.0,0.0,0.0,0.0,2.7,1.7,4.3,87.0,10.0,10.0,15.3,2.0,6.7,0.0,0.3,393.6,2.7,10.3,179.7,4.7,0.0,4.7,1.3,0.7,1.3,0.0,0.7,0.0,0.0,20.7,2.0,16.3
CD_I1000887,3.0,Mitch,Lewis,25,199,0,2,RIGHT,VIC,2016,2018,Whittlesea (Vic)/Assumption College (Vic)/Calder U18,76.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000887.png?im=Scale,width=0.6,height=0.6",14/10/1998,CD_T80,HAW,Hawthorn,Hawks,3.0,85.4,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,39.1,9.0,14.0,1.0,7.1,4.0,60.0,25.0,132.0,15.0,7.0,1.0,2.0,0.0,50.0,0.0,3.0,3.0,8.0,1.0,0.0,0.0,14.3,2.0,0.0,1.0,41.2,0.0,0.0,17.0,2.1,14.0,6.0,2.0,441.0,10.0,33.0,256.0,273.4,0.0,7.0,10.0,0.0,6.0,6.0,0.0,2.0,1.0,0.0,23.0,5.0,14.0,3.0,85.4,0.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.7,39.1,3.0,4.7,0.3,7.1,1.3,60.0,8.3,44.0,5.0,2.3,0.3,0.7,0.0,50.0,0.0,1.0,1.0,2.7,0.3,0.0,0.0,14.3,0.7,0.0,0.3,41.2,0.0,0.0,5.7,2.1,4.7,2.0,0.7,147.1,3.3,11.0,273.4,0.0,2.3,3.3,0.0,2.0,2.0,0.0,0.7,0.3,0.0,7.7,1.7,4.7
CD_I1000932,0.0,Tom,Doedee,27,190,0,12,RIGHT,VIC,2015,2018,"St Joseph&apos;s, Geel (Vic)/St Joseph&apos;s College, Geel (Vic)/Geel U18/Adelaide Crows",17.0,nationalDraft,MEDIUM_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000932.png?im=Scale,width=0.6,height=0.6",01/03/1997,CD_T20,BL,Brisbane Lions,Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,270.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD_I1000937,3.0,Jack,Henry,25,192,0,38,RIGHT,VIC,2016,2018,"St Mary&apos;s, Geelong (Vic)/Geelong U18",16.0,rookieElevation,KEY_DEFENDER,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000937.png?im=Scale,width=0.6,height=0.6",29/08/1998,CD_T70,GEEL,Geelong Cats,Cats,3.0,96.9,0.0,0.0,0.0,1.0,5.0,2.0,22.2,9.0,2.0,40.5,15.0,0.0,0.0,0.0,24.0,81.1,37.0,170.0,30.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,2.0,5.0,19.0,79.2,0.0,0.0,24.0,1.8,14.0,0.0,0.0,593.0,18.0,30.0,289.0,251.6,6.0,0.0,2.0,1.0,0.0,15.0,2.0,8.0,0.0,3.0,37.0,3.0,22.0,3.0,96.9,0.0,0.0,0.0,0.3,1.7,0.7,22.2,3.0,0.7,40.5,5.0,0.0,0.0,0.0,8.0,81.1,12.3,56.7,10.0,6.3,0.0,0.3,0.3,0.0,0.0,0.0,3.3,4.3,0.0,0.0,0.0,0.0,0.7,1.7,6.3,79.2,0.0,0.0,8.0,1.8,4.7,0.0,0.0,197.9,6.0,10.0,251.6,2.0,0.0,0.7,0.3,0.0,5.0,0.7,2.7,0.0,1.0,12.3,1.0,7.3
CD_I1000953,3.0,Harry,McKay,26,200,0,10,LEFT,VIC,2015,2017,Warragul (Vic)/Gippsland U18,10.0,nationalDraft,KEY_FORWARD,,,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000953.png?im=Scale,width=0.6,height=0.6",24/12/1997,CD_T30,CARL,Carlton,Blues,3.0,91.9,2.0,0.0,13.0,4.0,8.0,0.0,0.0,0.0,11.0,56.3,27.0,6.0,2.0,33.3,5.0,73.3,45.0,305.0,33.0,25.0,1.0,4.0,6.0,61.1,2.0,11.0,5.0,11.0,6.0,2.0,33.3,21.4,8.0,2.0,4.0,73.5,0.0,0.0,34.0,3.1,23.0,11.0,6.0,1028.0,7.0,29.0,204.0,309.7,0.0,28.0,26.0,3.0,18.0,5.0,2.0,11.0,5.0,6.0,48.0,5.0,21.0,3.0,91.9,0.7,0.0,13.0,1.3,2.7,0.0,0.0,0.0,3.7,56.3,9.0,2.0,0.7,33.3,1.7,73.3,15.0,101.7,11.0,8.3,0.3,1.3,2.0,61.1,0.7,3.7,1.7,3.7,2.0,0.7,33.3,21.4,2.7,0.7,1.3,73.5,0.0,0.0,11.3,3.1,7.7,3.7,2.0,343.0,2.3,9.7,309.7,0.0,9.3,8.7,1.0,6.0,1.7,0.7,3.7,1.7,2.0,16.0,1.7,7.0
